Date,Value
2016-01-01,121
2016-01-02,129
2016-01-03,113
2016-01-04,157
2016-01-05,167
2016-01-06,172
2016-01-07,190
2016-01-08,201
2016-01-09,153
2016-01-10,127
2016-01-11,153
2016-01-12,180
2016-01-13,166
2016-01-14,213
2016-01-15,211
2016-01-16,152
2016-01-17,81
2016-01-18,128
2016-01-19,124
2016-01-20,152
2016-01-21,176
2016-01-22,194
2016-01-23,141
2016-01-24,117
2016-01-25,144
2016-01-26,137
2016-01-27,156
2016-01-28,185
2016-01-29,154
2016-01-30,145
2016-01-31,163
2016-02-01,153
2016-02-02,149
2016-02-03,187
2016-02-04,150
2016-02-05,172
2016-02-06,149
2016-02-07,110
2016-02-08,144
2016-02-09,170
2016-02-10,163
2016-02-11,151
2016-02-12,174
2016-02-13,164
2016-02-14,120
2016-02-15,131
2016-02-16,139
2016-02-17,121
2016-02-18,122
2016-02-19,168
2016-02-20,119
2016-02-21,99
2016-02-22,126
2016-02-23,137
2016-02-24,118
2016-02-25,135
2016-02-26,163
2016-02-27,126
2016-02-28,102
2016-02-29,139
2016-03-01,173
2016-03-02,157
2016-03-03,150
2016-03-04,186
2016-03-05,158
2016-03-06,119
2016-03-07,144
2016-03-08,172
2016-03-09,146
2016-03-10,129
2016-03-11,187
2016-03-12,159
2016-03-13,119
2016-03-14,138
2016-03-15,157
2016-03-16,153
2016-03-17,165
2016-03-18,178
2016-03-19,137
2016-03-20,110
2016-03-21,104
2016-03-22,146
2016-03-23,144
2016-03-24,144
2016-03-25,174
2016-03-26,137
2016-03-27,133
2016-03-28,73
2016-03-29,160
2016-03-30,182
2016-03-31,165
2016-04-01,176
2016-04-02,114
2016-04-03,129
2016-04-04,144
2016-04-05,130
2016-04-06,179
2016-04-07,157
2016-04-08,181
2016-04-09,141
2016-04-10,135
2016-04-11,154
2016-04-12,141
2016-04-13,164
2016-04-14,175
2016-04-15,166
2016-04-16,137
2016-04-17,117
2016-04-18,166
2016-04-19,165
2016-04-20,149
2016-04-21,141
2016-04-22,144
2016-04-23,113
2016-04-24,110
2016-04-25,126
2016-04-26,135
2016-04-27,154
2016-04-28,178
2016-04-29,173
2016-04-30,136
2016-05-01,123
2016-05-02,137
2016-05-03,181
2016-05-04,234
2016-05-05,158
2016-05-06,180
2016-05-07,152
2016-05-08,148
2016-05-09,140
2016-05-10,181
2016-05-11,177
2016-05-12,164
2016-05-13,169
2016-05-14,160
2016-05-15,149
2016-05-16,123
2016-05-17,183
2016-05-18,156
2016-05-19,173
2016-05-20,178
2016-05-21,187
2016-05-22,141
2016-05-23,187
2016-05-24,163
2016-05-25,165
2016-05-26,183
2016-05-27,182
2016-05-28,181
2016-05-29,115
2016-05-30,170
2016-05-31,199
2016-06-01,176
2016-06-02,144
2016-06-03,173
2016-06-04,160
2016-06-05,135
2016-06-06,194
2016-06-07,191
2016-06-08,190
2016-06-09,218
2016-06-10,244
2016-06-11,168
2016-06-12,168
2016-06-13,154
2016-06-14,166
2016-06-15,175
2016-06-16,166
2016-06-17,183
2016-06-18,164
2016-06-19,147
2016-06-20,169
2016-06-21,167
2016-06-22,199
2016-06-23,221
2016-06-24,222
2016-06-25,160
2016-06-26,171
2016-06-27,152
2016-06-28,191
2016-06-29,191
2016-06-30,169
2016-07-01,197
2016-07-02,163
2016-07-03,145
2016-07-04,165
2016-07-05,189
2016-07-06,218
2016-07-07,209
2016-07-08,223
2016-07-09,200
2016-07-10,181
2016-07-11,181
2016-07-12,197
2016-07-13,192
2016-07-14,111
2016-07-15,147
2016-07-16,147
2016-07-17,133
2016-07-18,170
2016-07-19,157
2016-07-20,162
2016-07-21,156
2016-07-22,179
2016-07-23,159
2016-07-24,138
2016-07-25,158
2016-07-26,176
2016-07-27,157
2016-07-28,165
2016-07-29,167
2016-07-30,161
2016-07-31,149
2016-08-01,132
2016-08-02,164
2016-08-03,147
2016-08-04,151
2016-08-05,157
2016-08-06,148
2016-08-07,127
2016-08-08,139
2016-08-09,115
2016-08-10,115
2016-08-11,108
2016-08-12,143
2016-08-13,141
2016-08-14,121
2016-08-15,104
2016-08-16,130
2016-08-17,116
2016-08-18,133
2016-08-19,120
2016-08-20,144
2016-08-21,116
2016-08-22,172
2016-08-23,160
2016-08-24,140
2016-08-25,177
2016-08-26,161
2016-08-27,131
2016-08-28,132
2016-08-29,129
2016-08-30,176
2016-08-31,162
2016-09-01,176
2016-09-02,195
2016-09-03,157
2016-09-04,148
2016-09-05,217
2016-09-06,176
2016-09-07,209
2016-09-08,189
2016-09-09,227
2016-09-10,175
2016-09-11,151
2016-09-12,189
2016-09-13,176
2016-09-14,175
2016-09-15,179
2016-09-16,199
2016-09-17,139
2016-09-18,123
2016-09-19,159
2016-09-20,143
2016-09-21,200
2016-09-22,185
2016-09-23,204
2016-09-24,193
2016-09-25,159
2016-09-26,144
2016-09-27,189
2016-09-28,201
2016-09-29,207
2016-09-30,224
2016-10-01,171
2016-10-02,133
2016-10-03,213
2016-10-04,222
2016-10-05,194
2016-10-06,268
2016-10-07,200
2016-10-08,165
2016-10-09,146
2016-10-10,193
2016-10-11,194
2016-10-12,193
2016-10-13,196
2016-10-14,223
2016-10-15,182
2016-10-16,146
2016-10-17,183
2016-10-18,195
2016-10-19,180
2016-10-20,187
2016-10-21,167
2016-10-22,176
2016-10-23,135
2016-10-24,163
2016-10-25,159
2016-10-26,136
2016-10-27,190
2016-10-28,199
2016-10-29,171
2016-10-30,150
2016-10-31,166
2016-11-01,114
2016-11-02,152
2016-11-03,184
2016-11-04,222
2016-11-05,168
2016-11-06,136
2016-11-07,173
2016-11-08,191
2016-11-09,191
2016-11-10,230
2016-11-11,147
2016-11-12,176
2016-11-13,149
2016-11-14,165
2016-11-15,179
2016-11-16,180
2016-11-17,217
2016-11-18,224
2016-11-19,180
2016-11-20,137
2016-11-21,195
2016-11-22,163
2016-11-23,207
2016-11-24,161
2016-11-25,205
2016-11-26,154
2016-11-27,133
2016-11-28,195
2016-11-29,196
2016-11-30,232
2016-12-01,200
2016-12-02,222
2016-12-03,182
2016-12-04,124
2016-12-05,182
